intersection,intersection_text,cd,latitude,longitude,zip,city,
arapahoe-havana,arapahoe-havana,"39°35'42.5""N 104°52'00.4""W",,,80112,centennial,
arapahoe-peoria,arapahoe-peoria,"39°35'42.3""N 104°50'53.4""W",,,80112,centennial,
arapahoe-lima,arapahoe-lima,"39°35'42.1""N 104°51'26.9""W",,,80112,centennial,
arapahoe-jordan,arapahoe-jordan,"39°35'41.9""N 104°49'15.8""W",,,80016,centennial,
easter-havana,easter-havana,"39°35'16.1""N 104°52'00.5""W",,,80012,centennial,
arapahoe-havana,arapahoe-havana,"39°35'03.1""N 104°52'00.7""W",,,80112,centennial,
colfax-havana,colfax-havana,"39°44'24.7""N 104°51'57.0""W",,,80010,aurora,
colfax-yosemite,colfax-yosemite,"39°44'24.7""N 104°53'04.7""W",,,80010,aurora,
colfax-dayton,colfax-dayton,"39°44'24.8""N 104°52'31.0""W",,,80010,aurora,
mississippi-havana,mississippi-havana,"39°41'47.6""N 104°51'57.7""W",,,80012,denver,
colfax-moline,colfax-moline,"39°44'24.7""N 104°51'14.8""W",,,80220,denver,
colfax-quebec,colfax-quebec,"39°44'24.6""N 104°54'12.5""W",,,80220,denver,
arapahoe-university,arapahoe-university,"39°35'42.6""N 104°57'37.0""W",,,80122,centennnial,
arapahoe-broadway,arapahoe-broadway,"39°35'42.4""N 104°59'17.7""W",,,80122,littleton,
arapahoe-quebec,arapahoe-quebec,"39°35'42.2""N 104°54'14.9""W",,,80112,centennial,
arapahoe-yosemite,arapahoe-yosemite,"39°35'41.8""N 104°53'20.1""W",,,80112,centennial,
drycreek-university,drycreek-university,"39°34'50.4""N 104°57'37.3""W",,,80122,centennial,
drycreek-broadway,drycreek-broadway,"39°34'50.3""N 104°59'18.5""W",,,80122,littleton,
countyline-holly,countyline-holly,"39°33'57.9""N 104°55'23.1""W",,,80122,centennial,
colfax-logan,colfax-logan,"39°44'24.1""N 104°58'56.5""W",,,80203,denver,
colfax-pennsylvannia,colfax-pennsylvannia,"39°44'24.1""N 104°58'51.9""W",,,80203,denver,
colfax-clarkson,colfax-clarkson,"39°44'24.2""N 104°58'39.4""W",,,80218,denver,
colfax-cherry,colfax-cherry,"39°44'24.6""N 104°56'02.0""W",,,80220,denver,
20th-parkavenue,20th-parkavenue,"39°44'51.0""N 104°58'41.9""W",,,80205,denver,lodo
20th-sherman,20th-sherman,"39°44'51.2""N 104°59'05.5""W",,,80205,denver,lodo
14th-logan,14th-logan,"39°44'18.4""N 104°58'56.4""W",,,80203,denver,lodo
14th-broadway,14th-broadway,"39°44'18.5""N 104°59'14.8""W",,,80202,denver,lodo
14th-lincoln,14th-lincoln,"39°44'18.5""N 104°59'10.1""W",,,80203,denver,lodo
16th-lawrence,16th-lawrence,"39°44'54.7""N 104°59'47.7""W",,,80202,denver,lodo
16th-larimer,16th-larimer,"39°44'57.2""N 104°59'50.8""W",,,80202,denver,lodo
16th-arapahoe,16th-arapahoe,"39°44'52.2""N 104°59'44.4""W",,,80202,denver,lodo
16th-blake,16th-blake,"39°45'02.0""N 104°59'57.0""W",,,80202,denver,lodo
17th-blake,17th-blake,"39°45'05.4""N 104°59'52.6""W",,,80202,denver,lodo
15th-larimer,15th-larimer,"39°44'53.9""N 104°59'55.0""W",,,80202,denver,lodo
11th-santafe,11th-santafe,"39°44'01.2""N 104°59'55.3""W",,,80204,denver,art walk
10th-santafe,10th-santafe,"39°43'55.6""N 104°59'55.2""W",,,80204,denver,art walk
9th-kalamath,9th-kalamath,"39°43'49.9""N 105°00'00.5""W",,,80204,denver,art walk
8th-kalamath,8th-kalamath,"39°43'44.2""N 105°00'00.8""W",,,80204,denver,art walk
7th-kalamath,7th-kalamath,"39°43'38.4""N 105°00'00.8""W",,,80204,denver,art walk
9th-santafe,9th-santafe,"39°43'49.9""N 104°59'55.1""W",,,80204,denver,art walk
7th-santafe,7th-santafe,"39°43'38.4""N 104°59'55.2""W",,,80204,denver,art walk
6th-santafe,6th-santafe,"39°43'32.8""N 104°59'54.9""W",,,80204,denver,art walk
