intersection,text_blob,latitude,longitude,zip,city
11th-santafe,armstrong dance center 711 gas is 329 brick building nita tacos selene hyder construction quin sante fe theater denver voice denver works timeos bar aztlan swifts breakfeast nicks studio,39.733666666666664,-104.99869444444444,80204.0,denver
11th-syracuse,11th ave syracuse st no turn on red uhaul syracuse liquors beer wine spirits voodoo ranger syracuse liquors rentals no parking any time walia creamery dawn driving school open syracuse market santos cafe mexican grill garden court community    ,39.73291666666667,-104.89880555555557,80220.0,denver
11th-yosemite,11th ave yosemite st 7 eleven slurpee taw win restaurant 7 eleven laundromat cleaners coin laundromat security cameras in use no public restroom coinop bienvenidos drop off self service wash folding large load washers lavadoras grandes open customer parking only global grocery mart stanly marketplace gotham greens second dawn brewing co the hayes house of hope glisside coffee company square park roots king soopers bluff lake care now urgent care hillary wheat photography f15 park central park rec center side parking lot arrowhead park prairie uplands park sand creek river tag burger bar lagree lux central park mlk jr bulivard,39.73286111111111,-104.88475000000001,80010.0,aurora
13th-havana,fired cannabis dia international market taco bell lowes mcdonalds el molina bakery top pho lotus school for excellence havana sign schomp hyundai common ground golf course walgreens jetts pizza dozens fat boys bar and grill rita starbucks citibank atm 7eleven perlmutter christine m pinewood lodge,39.736472222222226,-104.86583333333333,,aurora
13th-peoria,move in today studio 1 2 3 bedrooms wwwvidaatfitzsimmonscom lumien at fitzzsimons lumien at fitzzsimons now leasing office p warning security camera all suspicious people and activities are immediately reported to aurora neighborhood watch p speed limit 25 p chevereolet z71 offroad now leasing vida at fitzsimons wwwvidaatfitzsimonscom lost dog speed limit 35 snow route p any time tow away zone vida at fitzsimons park at fitzsimons ezoz park at fitzsimons apartment homes 1360 peoria street pf speed limit 35 rav4 4wd h 535i nissan pathfinder equinox chevrolet traverse lt trailblazer permit parking only unauthorized vehicles will be towed at the owners expense vehicles will be impounded by colorado auto recovery begin fines double in work zone family dollar family dollar store closed all merchandise removed available sullivanhaves brokerage,39.73616666666667,-104.8471111111111,,aurora
14th-broadway,open during constrcution library entrance entrida a la biblioteca denver central library denver liberty and justice for all colorado supreme court colorado court of appeals only one way one way left lane must turn left one way 2 east 14th avenue no parking excel energy do not enter bicycles excepted dont go it alone car accident sunbelt rentals pacific sunwear 5280 waste solutions preserving priceless works of art colorados best roofing gutters no parking any time tow away zone walgreens travel vaccines available left lane spur coffee open central transport johnson storage and moving key bank fed ex postino quaker oats drive up atm barber hair design senor burritos kys 70 park here 70 seek safe shr direct tv for sale car wash water works full service detail center,39.73847222222222,-104.98744444444445,80202.0,denver
14th-lincoln,fransen pittman jurrasic oceans nature and science museam republic waste go contactless catch you soon monsters of the deep denver and rio grand railway express ralph l carr colorado judicial center james merrick state parking facility 2 east 14th avenue no parking restricted lane right lane must turn right domocoracy for all no more evil regimes democoracy for iran one way no parking all times colorado supreme court colorado court of appeals road work ahead liberty and justice for all lincoln one way p pay by phone go contactless park and pay using the paybyphone app location 3032791 paybypohone south broadway christian church sun 10 a no exceptions just love happy pride denver art museum denver art museum 14th ave one way one way only one way one way catch you soon jurrasic oceans monsters of the deep denver museum of nature science democracy for all speed limit 30 ralph l carr colorado judicial center 2 east 14th avenue one way one way one way right lane must turn right no parking any time tow away zone civic center lincoln st james merrick state parking facilitiy enforced by camera 247 fransen pittman expert precision fransen pittman exper precision road work ahead do not enter 82 clearance 82 clearance parking by permit for employees only park vans school bus stop on flashing red civic center historic district colorado state capitol,39.73847222222222,-104.98613888888889,80203.0,denver
14th-logan,available david hicks lamper4t wwwdhibcom weve moved available david hicks lamper4t wwwdhibcom available david hicks lamper4t wwwdhibcom available hotel rooms efficiency apartments art studios pet friently newhouse hotel1470 n grant st denvert co 80205 370g shroom oksc space out carts please clean up after your dog sound your horn proceed with caution you must comply with all signs at all times no free parking at any time parking copliance arbitration dta privacy park lock in numbered spaces only pay fee in same number slot as you parked no in out on same payment violators subject to a ticket andor tow not responsible for vehicle or contents time park pay here christian science church parking sunday 800am400pm wednesday 600pm930pm thanksgiving day 800am1000pm private property strictly enforced reading noon parking in designated church spaces only private property violators will be ticketed and towed warning permit parking only vehicles without valid permits will be towed at the owners expense parking permit only perfmisios de estaconamiento unicamente authorized parking only vehivles will be towed at vechicles owners expense los vehculos qu no estn autorizados seran remolcados y los costos generados seran del propetario del vehculo elite towing and recovery warning private parking ppermit holders only private proiperty violators subject to arrest 24 hours a day private property violators will be ticketed and towed first church parking only first church parking only first church parking only first church parking only warning private parking ppermit holders only first church parking only first church parking only first church parking only private parking permit holders only private property violators subject to arrest 24 hours a day private property no loitering soliciting skateboards rollerblades private property violators subject to arrest 24 hours a day danger diersel fuel no smoking no open flames generator fuel tank public parking day night weekend day night laz reserved parking video monitored pera employees and visitors elite pera employee parking only reserved parking video monitored pera employees and visitors reserved parking video monitored pera employees and visitors reserved parking only violators will be ticketed and or towed reserved parking video monitored pera employees and visitors united states postal service united states postal service lime onllime uhaul at your door ubox moving containers move store ship anywhere uhaulcom uhaul at your door ubox moving containers move store ship anywhere uhaulcom uhaul at your door ubox moving containers move store ship anywhere uhaulcom wm wmcom recycle only wm waste management 6yd do not park or block wmcom wm wate management wmcom do not park or block no public dumping 50000 fine waste connections of colorado waste connections of colorado denver the mile high city denver the mile high city private property be still and know that i am god psalms 4610 acquaint now thyself with him and be at peace job2221 monthly parking available p in advance pay here no free parking at any time in advance time park 10 all day monthly parking available in advance pay here no free parking at any time in advance bud light privaate property for lease 1390 logan first church of christ scientist sunday services 10am sunday school 10am wed meetings pm alll are welcome 1420 logan olin timepark enter time park time park time park art studios available 1450 n logan st cathedral apartments 1480 n logan st denver co 80203 denver drug liquor store cold beer spirits discount win atm lottery cigarettes ice sotda water munchies rx tycoon ramen sushi for lease denver logan st one way p this side 1st tuesday apr thru nov 8am 5pm tow away zone no parking any time loading only 7am6pm sun hol excl loading only 7am 6pm sun hol excl no parking any time tow away zone no parking any time tow away zone 2 hour parking 8am 6pm sun hol exc speed limit 30 over 7000 lbs empty wt no parking any time sun and hol exc one way one way one way one way road work ahead mollly brown house museaum no parking any time sun hol exc no parking any time tow away zone one way loading only all times no parking any time loading only all times reserved parking no parking any time sun 6am1pm exc no parking any time tow away zone no parking any time tow away zone 2 hour parking 8am no parking any time tow away zone professional flooring installations text or call carpet tile wood lvp repairs stretching sales installations carpet tile wood lvp repairs stretching sales installations cheverolet express comfort systems usa design mechanical inc qualiity people building solutions tm wwwdesignmechcom no parking any time sun 6am1pm exc no parking any time tow away zone,39.73844444444445,-104.98233333333333,80203.0,denver
15th-larimer,ariat stetson sidewalk closed ahead pedestrians cross over bus right turn only right turn only no rght turn on red seafood steaks cocktails shop sip and be merry carimer square holiday market ocean prime seafood steaks cocktails ocean prime left turn only no double turns one way the capital grille the capital grille the capital grille van leeuwen,39.748305555555554,-104.99861111111112,80202.0,denver
16th-arapahoe,wells fargo westin optiv road work ahead alfagraphics no parking anytime beer garden pcl united denver zoo one way stop here on red idependence plaza juice kitchen bobcat gates detour bay 1 bay 2,39.74783333333333,-104.99566666666666,80202.0,denver
