"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1500000US080010078011","Block Group 1; Census Tract 78.01; Adams County; Colorado","45576","21273",
"1500000US080010078012","Block Group 2; Census Tract 78.01; Adams County; Colorado","71129","28687",
"1500000US080010078021","Block Group 1; Census Tract 78.02; Adams County; Colorado","54109","7779",
"1500000US080010078022","Block Group 2; Census Tract 78.02; Adams County; Colorado","-","**",
"1500000US080010078023","Block Group 3; Census Tract 78.02; Adams County; Colorado","48906","23526",
"1500000US080010079001","Block Group 1; Census Tract 79; Adams County; Colorado","66146","24213",
"1500000US080010079002","Block Group 2; Census Tract 79; Adams County; Colorado","78565","24139",
"1500000US080010079003","Block Group 3; Census Tract 79; Adams County; Colorado","96775","38998",
"1500000US080010079004","Block Group 4; Census Tract 79; Adams County; Colorado","54500","45354",
"1500000US080010080001","Block Group 1; Census Tract 80; Adams County; Colorado","84219","19695",
"1500000US080010080002","Block Group 2; Census Tract 80; Adams County; Colorado","78942","31913",
"1500000US080010080003","Block Group 3; Census Tract 80; Adams County; Colorado","93023","14043",
"1500000US080010080004","Block Group 4; Census Tract 80; Adams County; Colorado","128036","59099",
"1500000US080010080005","Block Group 5; Census Tract 80; Adams County; Colorado","59659","16036",
"1500000US080010080006","Block Group 6; Census Tract 80; Adams County; Colorado","105089","60017",
"1500000US080010081001","Block Group 1; Census Tract 81; Adams County; Colorado","49500","22322",
"1500000US080010082001","Block Group 1; Census Tract 82; Adams County; Colorado","76087","29841",
"1500000US080010082002","Block Group 2; Census Tract 82; Adams County; Colorado","137623","28738",
"1500000US080010082003","Block Group 3; Census Tract 82; Adams County; Colorado","104573","71388",
"1500000US080010083081","Block Group 1; Census Tract 83.08; Adams County; Colorado","67284","52099",
"1500000US080010083082","Block Group 2; Census Tract 83.08; Adams County; Colorado","77839","15405",
"1500000US080010083083","Block Group 3; Census Tract 83.08; Adams County; Colorado","33367","24418",
"1500000US080010083091","Block Group 1; Census Tract 83.09; Adams County; Colorado","88125","34878",
"1500000US080010083092","Block Group 2; Census Tract 83.09; Adams County; Colorado","-","**",
"1500000US080010083093","Block Group 3; Census Tract 83.09; Adams County; Colorado","52275","39773",
"1500000US080010083541","Block Group 1; Census Tract 83.54; Adams County; Colorado","144286","88949",
"1500000US080010083542","Block Group 2; Census Tract 83.54; Adams County; Colorado","125469","20949",
"1500000US080010083551","Block Group 1; Census Tract 83.55; Adams County; Colorado","60921","57324",
"1500000US080010083552","Block Group 2; Census Tract 83.55; Adams County; Colorado","94308","25304",
"1500000US080010083553","Block Group 3; Census Tract 83.55; Adams County; Colorado","-","**",
"1500000US080010084011","Block Group 1; Census Tract 84.01; Adams County; Colorado","110227","33141",
"1500000US080010084012","Block Group 2; Census Tract 84.01; Adams County; Colorado","100573","14427",
"1500000US080010084013","Block Group 3; Census Tract 84.01; Adams County; Colorado","111563","20083",
"1500000US080010084021","Block Group 1; Census Tract 84.02; Adams County; Colorado","107868","39289",
"1500000US080010084022","Block Group 2; Census Tract 84.02; Adams County; Colorado","138060","39567",
"1500000US080010084023","Block Group 3; Census Tract 84.02; Adams County; Colorado","111444","34469",
"1500000US080010085051","Block Group 1; Census Tract 85.05; Adams County; Colorado","85063","38292",
"1500000US080010085052","Block Group 2; Census Tract 85.05; Adams County; Colorado","112945","6817",
