,intersection,text_blob,latitude,longitude,zip,city
1,11th-santafe,armstrong dance center 711 gas is 329 brick building nita tacos selene hyder construction quin sante fe theater denver voice denver works timeos bar aztlan swifts breakfeast nicks studio,39.733666666666664,-104.99869444444444,80204.0,denver
2,11th-syracuse,11th ave syracuse st no turn on red uhaul syracuse liquors beer wine spirits voodoo ranger syracuse liquors rentals no parking any time walia creamery dawn driving school open syracuse market santos cafe mexican grill garden court community,39.73291666666667,-104.89880555555557,80220.0,denver
3,11th-yosemite,11th ave yosemite st 7 eleven slurpee taw win restaurant 7 eleven laundromat cleaners coin laundromat security cameras in use no public restroom coinop bienvenidos drop off self service wash folding large load washers lavadoras grandes open customer parking only global grocery mart stanly marketplace gotham greens second dawn brewing co the hayes house of hope glisside coffee company square park roots king soopers bluff lake care now urgent care hillary wheat photography f15 park central park rec center side parking lot arrowhead park prairie uplands park sand creek river tag burger bar lagree lux central park mlk jr bulivard,39.73286111111111,-104.88475000000001,80010.0,aurora
4,13th-havana,fired cannabis dia international market taco bell lowes mcdonalds el molina bakery top pho lotus school for excellence havana sign schomp hyundai common ground golf course walgreens jetts pizza dozens fat boys bar and grill rita starbucks citibank atm 7eleven perlmutter christine m pinewood lodge,39.736472222222226,-104.86583333333333,,aurora
5,14th-broadway,only one way open during constrcution library entrance entrida a la biblioteca denver central library one way left lane must turn left one way denver 2 east 14th avenue liberty and justice for all colorado supreme court colorado court of appeals no parking excel energy do not enter bicycles excepted dont go it alone car accident sunbelt rentals pacific sunwear 5280 waste solutions preserving priceless works of art colorados best roofing gutters enforced by camera 247 walgreens travel vaccines available left lane spur coffee open central transport johnson storage and moving key bank fed ex postino quaker oats drive up atm barber hair design senor burritos kys 70 park here 70 seek safe shr direct tv for sale car wash water works full service detail center,39.73847222222222,-104.98744444444445,80202.0,denver
6,14th-lincoln,ralph l carr colorado judicial center fransen pittman jurrasic oceans nature and science museam republic waste no parking james merrick state parking facility denver and rio grand railway express restricted lane right lane must turn right equinox go contactless 2 east 14th avenue super duty catch you soon domocoracy for all no more evil regimes monsters of the deep democoracy for iran south broadway christian church sun 10 a no exceptions just love happy pride denver art museum denver art museum,39.73847222222222,-104.98613888888889,80203.0,denver
7,15th-larimer,ariat stetson sidewalk closed ahead pedestrians cross over bus right turn only right turn only no rght turn on red seafood steaks cocktails shop sip and be merry carimer square holiday market ocean prime seafood steaks cocktails ocean prime left turn only no double turns one way the capital grille the capital grille the capital grille van leeuwen,39.748305555555554,-104.99861111111112,80202.0,denver
9,16th-arapahoe,wells fargo westin optiv road work ahead alfagraphics no parking anytime beer garden pcl united denver zoo one way stop here on red idependence plaza juice kitchen bobcat gates detour bay 1 bay 2,39.74783333333333,-104.99566666666666,80202.0,denver
10,16th-blake,market 16 square turning vehicals to blake street 16th street curb lane buses only cholon modern asian tmobile for lease blake lodo district larimer square coors field free mall ride financed by first bank little finch cafe and bakery chipotle mexican grill rush bowls att entrance do not enter,39.75055555555556,-104.99916666666667,80202.0,denver
11,16th-larimer,16th street mall pedestrians and authorized vehicles only overland sheepskin cheesecake factory christian science reading room 16th street mall one way do not block sign road work ahead road work ahead walk your bike no scooters segways rollerblades mopeds skateboards any time no parking anytime wwwoverlandcom lime bike lamier place condominums clearance 76 the ups store fed ex car university of the rockies tabor center chase atm,39.74922222222222,-104.99744444444444,80202.0,denver
12,16th-lawrence,colorado athletic club rtd pnc bank one way gusto 16th street mall the westin hotel public parking free mall ride lawrence street 38 clear crk xing right lane only no parking anytime saturday and sunday excepted cu ikes love and sandwiches farm fresh pork delivered roofing windows painting remodeling 0 financing formula arapahoe 16th st public restrooms no parking anytime 16th street free mall ride rtd 38 clear crk xing rtd for lease for lease 15 minutes loading only all other times truck loading by permit only all other times street sweeping p this side 2am 6am wednesday monday tow away zone no parking anytime tow away zone no parking anytime tow away zone the ride rtd bus and rail stations free mallride writer square larimer square,39.74852777777778,-104.99658333333333,80202.0,denver
13,17th-blake,republic parking chase senior housing options cintas bg constructions inc hedges atkins suppy co concentra public parking pye barking market station att for lease coca cola facility solutions group 7 eleven do not enter one way free market early bird pay here,39.7515,-104.99794444444444,80202.0,denver
